RANK,NAME,EVENT,SG:T,SG:T2G,SG:P,SG:OTT,SG:APP,SG:ARG
1,Brooks Koepka,safeway,10.654,4.515,6.138,2.617,2.677,-0.779
2,Hideki Matsuyama,safeway,10.654,8.849,1.804,3.508,8.912,-3.571
3,Vijay Singh,safeway,11.654,9.844,1.809,5.558,6.223,-1.937
4,Max Homa,safeway,8.654,5.16,3.493,2.512,1.504,1.143
5,Will MacKenzie,safeway,8.654,3.762,4.891,4.045,0.182,-0.465
6,Justin Hicks,safeway,6.654,8.053,-1.399,5.3,2.34,0.412
7,Billy Hurley III,safeway,8.653,9.002,-0.349,3.654,3.574,1.774
7,James Driscoll,safeway,5.654,1.462,4.191,0.421,0.246,0.794
9,Ben Martin,safeway,6.654,2.623,4.03,1.797,0.146,0.679
10,Jimmy Walker,safeway,13.654,1.42,12.233,-0.873,1.883,0.41
10,Brendon Todd,safeway,4.653,0.965,3.687,2.747,-2.373,0.592
12,Kevin Na,safeway,10.654,2.609,8.044,-2.308,5.788,-0.87
13,Andres Gonzales,safeway,6.653,2.101,4.551,-1.159,2.318,0.943
14,Kyle Stanley,safeway,3.653,5.696,-2.043,1.887,6.05,-2.24
14,Brian Harman,safeway,9.654,5.288,4.365,-0.303,4.663,0.928
14,Robert Garrigus,safeway,7.654,2.755,4.898,3.118,1.901,-2.264
17,Scott Brown,safeway,10.653,8.133,2.519,3.198,3.84,1.095
18,Russell Knox,safeway,4.653,6.15,-1.497,2.2,2.073,1.877
19,Kevin Chappell,safeway,1.654,3.605,-1.951,1.21,4.045,-1.65
20,Ryo Ishikawa,safeway,5.654,7.68,-2.026,2.465,8.832,-3.617
21,Y.E. Yang,safeway,3.653,1.106,2.546,0.293,-1.489,2.303
22,Jason Gore,safeway,4.654,1.473,3.18,3.301,-1.396,-0.431
23,George McNeill,safeway,9.654,5.694,3.959,-1.736,4.988,2.442
23,Daniel Summerhays,safeway,2.653,-2.103,4.755,-2.277,-0.693,0.869
25,Brian Davis,safeway,3.654,2.092,1.561,-0.405,-0.622,3.12
26,Jason Kokrak,safeway,7.654,5.18,2.473,2.779,1.959,0.441
27,Briny Baird,safeway,4.654,6.048,-1.394,0.642,4.39,1.015
28,Camilo Villegas,safeway,4.653,0.197,4.455,0.895,1.103,-1.8
28,Charlie Beljan,safeway,1.653,0.214,1.438,4.528,-1.901,-2.411
30,David Hearn,safeway,5.654,-1.001,6.654,-0.21,-2.955,2.165
31,Jim Herman,safeway,4.653,0.582,4.07,1.058,-0.267,-0.207
32,Lee Williams,safeway,0.654,-0.463,1.116,-0.273,1.834,-2.023
33,Trevor Immelman,safeway,5.654,4.258,1.395,-0.235,1.283,3.21
34,Charles Howell III,safeway,3.654,9.017,-5.363,3.926,4.122,0.968
35,Sean O'Hair,safeway,4.654,-0.133,4.786,1.878,-2.743,0.732
36,Jeff Overton,safeway,6.653,6.986,-0.333,0.031,4.836,2.119
37,Jonas Blixt,safeway,0.653,1.894,-1.241,1.324,0.44,0.13
38,Tyrone Van Aswegen,safeway,2.654,1.916,0.737,0.479,-0.462,1.899
39,Danny Lee,safeway,3.654,3.939,-0.285,-0.325,5.079,-0.814
39,John Peterson,safeway,5.654,3.043,2.61,2.487,2.768,-2.212
41,Kevin Tway,safeway,2.653,-4.59,7.242,2.112,-5.739,-0.961
42,Josh Teater,safeway,0.654,-3.074,3.727,-0.536,-1.971,-0.565
43,Charlie Wi,safeway,7.653,2.491,5.161,1.031,-3.671,5.132
44,Heath Slocum,safeway,2.653,1.171,1.481,1.309,0.883,-1.02
45,Brian Stuard,safeway,-1.347,6.521,-7.868,1.023,0.832,4.666
46,Jason Bohn,safeway,2.653,7.652,-4.999,-1.703,5.152,4.204
47,Spencer Levin,safeway,7.654,3.719,3.934,0.486,-4.152,7.385
48,Chez Reavie,safeway,0.653,6.115,-5.462,4.114,3.022,-1.02
49,Ben Crane,safeway,-2.346,-3.608,1.261,1.028,-4.285,-0.35
50,J.J. Henry,safeway,6.654,1.946,4.707,0.428,0.969,0.548
51,Luke Guthrie,safeway,2.654,0.35,2.303,0.645,1.478,-1.773
52,Kevin Kisner,safeway,3.654,0.444,3.209,-6.308,5.392,1.36
53,Morgan Hoffmann,safeway,1.654,0.565,1.088,1.931,-2.885,1.519
53,Robert Allenby,safeway,-2.347,-0.398,-1.949,-1.84,3.582,-2.138
55,John Rollins,safeway,1.654,1.465,0.188,-1.877,0.027,3.315
56,Robert Streb,safeway,0.654,0.912,-0.258,2.038,-2.599,1.473
57,Bryce Molder,safeway,-2.347,2.7,-5.047,1.133,2.044,-0.476
58,Jerry Kelly,safeway,-0.346,1.155,-1.501,-2.181,0.932,2.404
59,Michael Putnam,safeway,-2.347,-0.114,-2.233,-0.624,1.948,-1.436
60,Brice Garnett,safeway,0.653,-2.663,3.315,-1.98,1.671,-2.352
60,Ricky Barnes,safeway,3.654,3.221,0.432,-3.226,4.968,1.479
62,Davis Love III,safeway,-2.347,-4.901,2.553,-0.138,-4.542,-0.218
63,Will Claxton,safeway,1.654,4.143,-2.489,-0.82,6.429,-1.465
64,Mike Weir,safeway,-2.347,-4.848,2.5,-5.852,-2.716,3.722
65,Jamie Lovemark,safeway,-2.347,2.7,-5.047,-1.718,3.188,1.231
66,Scott Langley,safeway,-1.347,-0.065,-1.282,0.927,-0.816,-0.174
67,Pat Perez,safeway,-1.347,1.384,-2.731,-2.581,0.988,2.978
68,John Huh,safeway,-6.347,-2.605,-3.742,-0.806,-1.709,-0.087
69,Johnson Wagner,safeway,-1.347,-5.753,4.405,-3.629,-2.51,0.388
70,Bud Cauley,safeway,-7.347,-7.531,0.183,-3.155,-4.747,0.373
71,Mark Hubbard,safeway,-4.347,-2.931,-1.416,1.228,-1.825,-2.332
1,Jason Bohn,shriners,12.089,5.486,6.604,1.746,4.738,-1
2,Webb Simpson,shriners,18.089,8.285,9.805,2.001,4.07,2.211
3,Charley Hoffman,shriners,11.089,9.079,2.011,4.721,4.235,0.12
4,Ryan Moore,shriners,9.089,7.288,1.802,1.835,6.09,-0.639
4,Chesson Hadley,shriners,10.089,7.295,2.795,-1.983,7.337,1.939
6,Jeff Overton,shriners,9.089,6.878,2.212,0.89,2.937,3.048
7,Ken Duke,shriners,7.089,4.405,2.685,1.148,2.167,1.087
8,Charles Howell III,shriners,10.089,4.082,6.008,3.254,0.163,0.662
9,Luke Guthrie,shriners,10.089,5.545,4.545,3.339,1.078,1.125
10,Robert Garrigus,shriners,6.089,10.565,-4.474,3.151,3.065,4.346
11,Will MacKenzie,shriners,7.089,3.838,3.252,-1.142,4.265,0.713
12,Troy Matteson,shriners,10.089,8.765,1.325,-1.539,6.629,3.673
13,Brian Davis,shriners,6.089,9.89,-3.799,2.206,1.819,5.862
14,J.J. Henry,shriners,7.089,5.909,1.181,2.561,4.751,-1.405
15,Carl Pettersson,shriners,8.089,6.874,1.216,3.259,1.594,2.018
16,Jimmy Walker,shriners,8.089,5.372,2.718,1.718,2.11,1.541
16,James Driscoll,shriners,5.089,4.099,0.991,0.802,4.89,-1.595
18,Brendon Todd,shriners,8.089,6.203,1.887,1.584,3.077,1.539
19,Max Homa,shriners,4.089,0.728,3.362,1.243,1.349,-1.866
19,Sean O'Hair,shriners,7.089,2.879,4.211,5.72,-3.643,0.8
21,Andrew Svoboda,shriners,7.089,6.259,0.831,0.958,5.456,-0.157
22,Stuart Appleby,shriners,6.089,2.781,3.309,1.216,1.55,0.012
23,Daniel Summerhays,shriners,6.089,6.749,-0.658,4.515,-0.004,2.236
24,Zach Johnson,shriners,2.089,-0.125,2.215,1.484,-1.187,-0.423
25,Morgan Hoffmann,shriners,1.089,-4.587,5.677,-1.645,-2.879,-0.063
